product,utc,point,box_mean,box_max,unit
MultiSensor_QPE_01H_Pass2,2026-04-18T21:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T22:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T23:00:00Z,0.00,0.00,0.00,mm
PrecipRate,2026-07-06T14:40:00Z,8.70,14.38,24.00,mm/hr
PrecipRate,2026-07-06T14:44:00Z,25.10,28.11,43.40,mm/hr
PrecipRate,2026-07-06T14:48:00Z,26.00,25.74,39.70,mm/hr
PrecipRate,2026-07-06T14:52:00Z,33.50,25.92,48.50,mm/hr
PrecipRate,2026-07-06T14:56:00Z,23.50,30.13,49.80,mm/hr
PrecipRate,2026-07-06T15:00:00Z,16.30,27.28,47.70,mm/hr
PrecipRate,2026-07-06T15:04:00Z,40.80,33.11,47.20,mm/hr
PrecipRate,2026-07-06T15:08:00Z,36.40,43.24,63.00,mm/hr
PrecipRate,2026-07-06T15:12:00Z,74.90,56.03,74.90,mm/hr
PrecipRate,2026-07-06T15:16:00Z,60.10,56.77,77.80,mm/hr
PrecipRate,2026-07-06T15:20:00Z,52.70,42.51,61.60,mm/hr
PrecipRate,2026-07-06T15:24:00Z,13.70,27.31,68.80,mm/hr
PrecipRate,2026-07-06T15:28:00Z,19.70,19.02,39.40,mm/hr
PrecipRate,2026-07-06T15:32:00Z,8.00,9.71,13.60,mm/hr
PrecipRate,2026-07-06T15:36:00Z,5.80,6.58,10.50,mm/hr
PrecipRate,2026-07-06T15:40:00Z,8.60,6.07,10.60,mm/hr
PrecipRate,2026-08-03T13:50:00Z,0.00,0.15,0.30,mm/hr
PrecipRate,2026-08-03T13:52:00Z,1.60,1.05,1.60,mm/hr
PrecipRate,2026-08-03T13:54:00Z,1.60,1.10,1.70,mm/hr
PrecipRate,2026-08-03T13:56:00Z,0.80,0.90,1.00,mm/hr
PrecipRate,2026-08-03T13:58:00Z,2.20,2.35,2.80,mm/hr
PrecipRate,2026-08-03T14:00:00Z,3.00,3.75,4.80,mm/hr
PrecipRate,2026-08-03T14:02:00Z,3.10,3.60,4.80,mm/hr
PrecipRate,2026-08-03T14:04:00Z,5.50,6.70,8.90,mm/hr
PrecipRate,2026-08-03T14:06:00Z,3.90,3.65,4.20,mm/hr
PrecipRate,2026-08-03T14:08:00Z,5.00,7.50,12.30,mm/hr
